Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG,AverageCombinedMPG
Maserati,Gasoline,8,20,14,17
Mazda,Gasoline,4,34,26,30
Mazda,Gasoline,4,35,27,31
McLaren Automotive,Gasoline,8,23,16,19.5
Mercedes-Benz,Electricity,0,82,85,83.5
Mercedes-Benz,Gasoline,4,30,23,26.5
Mercedes-Benz,Gasoline,6,25,19,22
Mercedes-Benz,Gasoline,8,22,16,19
Mercedes-Benz,Gasoline,12,20,13,16.5
MINI,Gasoline,4,33,24,28.5
Mitsubishi,Electricity,0,102,121,111.5
Mitsubishi,Gasoline,6,27,20,23.5
Mitsubishi,Gasoline,3,42,35,38.5
Mitsubishi,Gasoline,4,31,24,27.5
Nissan,Electricity,0,101,124,112.5
Nissan,Gasoline,4,31,26,28.5
Nissan,Gasoline,6,26,18,22
Nissan,Gasoline,4,33,26,29.5
Nissan,Gasoline,6,25,18,21.5
Nissan,Gasoline,8,20,14,17
Porsche,Gasoline,4,27,21,24
Porsche,Gasoline,6,26,19,22.5
Porsche,Gasoline,8,21,14,17.5
Ram,Gasoline,8,21,14,17.5
Ram,Gasoline,4,28,21,24.5
Ram,Gasoline,6,24,17,20.5
Rolls-Royce,Gasoline,12,19,12,15.5
Roush Performance,Gasoline,8,23,14,18.5
smart,Gasoline,3,39,32,35.5
Subaru,Gasoline,4,27,21,24
Subaru,Gasoline,4,33,25,29
Subaru,Gasoline,6,28,20,24
Tesla,Electricity,0,98,92,95
Toyota,Gasoline,4,30,23,26.5
Toyota,Gasoline,4,35,32,33.5
Toyota,Gasoline,6,25,20,22.5
Toyota,Gasoline,8,18,13,15.5
Volkswagen,Gasoline,4,28,21,24.5
Volkswagen,Gasoline,4,33,24,28.5
Volkswagen,Gasoline,6,25,18,21.5
Volvo,Gasoline,4,29,22,25.5
Volvo,Gasoline,4,32,23,27.5
